taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Caribbean),Nicaragua (Caribbean),10,2033,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Nicaragua (Caribbean),Costa Rica (Caribbean),10,2038,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Caribbean),Nicaragua (Caribbean),10,2038,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Panama (Caribbean),Costa Rica (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Caribbean),Panama (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Panama (Caribbean),Costa Rica (Caribbean),10,2033,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Caribbean),Panama (Caribbean),10,2033,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Galapagos Isl. (Ecuador),Costa Rica (Pacific),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Pacific),Galapagos Isl. (Ecuador),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Galapagos Isl. (Ecuador),Costa Rica (Pacific),10,2014,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Pacific),Galapagos Isl. (Ecuador),10,2014,Tresh_two
